Area (CN), average price, Area (EN)
黄浦,36,Huangpu
嘉定,35,Jiading
长宁,36,Changning
静安,41,Jingan
杨浦,33,Yangpu
闸北,28,Zhabei
卢湾,44,Luwan
虹口,45,Hongkou
宝山,27,Baoshan
崇明,31,Chongming
青浦,39,Qingpu
浦东,32,Pudong
松江,29,Songjiang
普陀,30,Putuo
金山,34,Jinshan
奉贤,30,Fengxian
闵行,30,Minhang
徐汇,39,Xuhui
