Area (CN),Num of Cafés per 1,000 people,Area (EN)
黄浦,1.202,Huangpu
嘉定,0.403,Jiading
长宁,1.440,Changning
静安,0.644,Jingan
杨浦,0.502,Yangpu
闸北,2.297,Zhabei
卢湾,2.115,Luwan
虹口,0.983,Hongkou
宝山,0.475,Baoshan
崇明,0.279,Chongming
青浦,0.285,Qingpu
浦东,0.524,Pudong
松江,0.462,Songjiang
普陀,0.869,Putuo
金山,0.319,Jinshan
奉贤,0.283,Fengxian
闵行,0.522,Minhang
徐汇,0.778,Xuhui
